event_ID,event_year,event_time,event_state,latitude,longitude,phase_group,far_part,crew_cat,crew_age,crew_sex,med_certf,total_fatal,probable_cause,acft_make,acft_model,wx_cond,wind_speed,visibility,temperature
20080222X00229,2008,1945,HI,193720N,1545150W,401,121,,,,,0,Personnel issues-Physical-Alertness/Fatigue-(general)-Flight crew,"Bombardier, Inc.",CL-600,VMC,3,10,72
20080222X00231,2008,215,IL,383414N,0090922W,252,135,PLT,28,M,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Altitude-Not attained/maintained - C,Cessna,425,VMC,,,0
20080228X00243,2008,2030,TX,301124N,0097407W,500,121,CPLT,53,M,CL1,0,Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Not specified - C,McDonnell Douglas,MD-88,VMC,9,10,61
20080304X00257,2008,641,FL,275832N,0823159W,500,135,PLT,34,M,CL1,0,Aircraft-Aircraft systems-Landing gear system-Gear position and warning-Malfunction - C,CESSNA,210L,VMC,10,10,64
20080304X00260,2008,1457,KY,039234N,0844024W,401,121,CPLT,26,F,CL1,0,Environmental issues-Task environment-Physical workspace-(general)-Not specified,Embraer,EMB-145LR,VMC,9,8,37
20080305X00267,2008,2140,NV,036448N,0011598W,404,121,CPLT,48,M,CL1,0,Aircraft-Aircraft structures-Fuselage-Seat/cargo attach fitting-Failure - C,BOEING,737-300,VMC,14,10,59
20080305X00268,2008,515,NC,351250N,0805635W,250,135,CPLT,26,M,CL1,0,Personnel issues-Action/decision-Action-Lack of action-Ground crew - C,"Bombardier, Inc.",35A,VMC,10,8,52
20080307X00283,2008,1612,TX,325043N,0096519W,253,121,CPLT,50,M,CL1,0,Personnel issues-Psychological-Attention/monitoring-Monitoring other aircraft-Pilot - C,BOEING,737-7H4,IMC,6,3,59
20080312X00305,2008,416,WY,433622N,1104419W,552,121,CPLT,44,M,CL1,0,Aircraft-Aircraft systems-Landing gear system-Landing gear brakes system-Incorrect service/maintenance - C,Airbus Industrie,A320,VMC,7,10,0
20080321X00352,2008,450,NV,036370N,0011610W,400,135,PLT,35,M,CL1,0,Aircraft-Aircraft systems-Fuel system-Fuel transfer valve-Malfunction - C,CESSNA,402C,VMC,,10,50
20080321X00355,2008,1920,IA,414129N,0933359W,300,135,PLT,54,M,CL2,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C,Swearingen,SA-226AT,IMC,7,0.75,30
20080328X00397,2008,1726,OR,453519N,1223627W,550,135,PLT,21,M,CL2,0,Aircraft-Aircraft systems-Landing gear system-Gear extension and retract sys-Incorrect service/maintenance - C,Piper,PA-31-350,VMC,9,10,46
20080331X00404,2008,1920,AZ,365533N,1112654W,300,121,CPLT,26,M,CL1,0,Organizational issues-Management-Culture-(general)-Operator,Raytheon Aircraft Company,1900D,VMC,5,10,66
20080404X00426,2008,2308,TX,030026N,0951849W,552,121,CPLT,43,M,CL1,0,Aircraft-Aircraft systems-Landing gear system-Anti-skid section-Inoperative,BOEING,737-524,VMC,16,10,79
20080407X00434,2008,2340,AK,059370N,1573042W,402,135,PLT,52,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Ceiling/visibility/precip-Low visibility-Contributed to outcome - F,PIPER,PA-32,IMC,15,2,34
20080408X00438,2008,1831,FL,261148N,0801012W,552,135,PLT,44,M,CL1,0,Aircraft-Aircraft systems-Landing gear system-(general)-Failure,Cessna,402B,VMC,14,10,90
20080411X00456,2008,1645,AK,535425N,1663257W,251,121,CPLT,26,M,CL1,0,Aircraft-Aircraft systems-Flight control system-Rudder control system-Failure - C,Fairchild,SA227-AC,VMC,37,9,45
20080413X00464,2008,100,GA,304911N,0831650W,500,121,CPLT,33,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-(general)-Not specified - C,Boeing,737-700,IMC,,10,64
20080414X00473,2008,30,AK,053541N,0166320W,550,135,PLT,37,M,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Not attained/maintained - C,GRUMMAN,G-21A,VMC,9,10,30
20080506X00598,2008,1410,MN,445255N,0931318W,251,121,KPLT,52,M,CL1,0,Aircraft-Aircraft power plant-Engine controls-Power lever-Incorrect use/operation - C,BOMBARDIER INC,CL600-2D24,IMC,11,2,54
20080508X00629,2008,2310,CO,403633N,1031532W,552,135,PLT,37,M,CL1,0,Aircraft-Aircraft systems-Landing gear system-Main gear strut/axle/truck-Failure - C,Cessna,421C,VMC,5,10,63
20080509X00640,2008,1300,VA,373334N,0772245W,402,121,,,,,0,Organizational issues-Development-Design-Task design-Manufacturer,Boeing,757-200,VMC,,,0
20080514X00667,2008,1445,NJ,404123N,0741028W,350,121,CPLT,40,M,CL1,0,Aircraft-Aircraft systems-Electrical power system-AC power distribution system-Malfunction - C,Airbus,A320,VMC,14,10,27
20080523X00720,2008,2345,WA,481821N,1203937W,350,135,PLT,62,M,CL1,2,Aircraft-Aircraft systems-Landing gear system-Gear extension and retract sys-Not used/operated - C,de Havilland,DHC-2 MK I,VMC,,10,91
20080528X00734,2008,2347,NM,033185N,1043150W,253,135,PLT,52,M,CL1,0,Aircraft-Aircraft systems-Landing gear system-Main landing gear attach sec-Incorrect service/maintenance,Cessna,310Q,VMC,19,10,66
20080530X00758,2008,724,MT,045501N,1082821W,350,135,PLT,40,M,CL1,1,Not determined-Not determined-(general)-(general)-Unknown/Not determined - C,BEECH,1900C,IMC,18,10,46
20080602X00762,2008,37,MI,425659N,0852849W,500,135,PLT,39,M,CL2,0,Aircraft-Aircraft power plant-Power plant-(general)-Failure - C,CESSNA,208B,VMC,9,10,59
20080604X00792,2008,1645,UT,038616N,1095147W,452,135,PLT,66,M,CL2,2,Environmental issues-Physical environment-Terrain-Mountainous/hilly terrain-Not specified,CESSNA,172R,VMC,3,10,70
20080610X00820,2008,2250,NV,392847N,1194421W,350,135,PLT,40,M,CL1,0,Aircraft-Aircraft systems-Landing gear system-Main landing gear-Failure,CESSNA,402,VMC,13,20,75
20080613X00850,2008,1330,NY,444036N,0745654W,551,135,PLT,32,M,CL2,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C,EMBRAER,EMB-110P1,IMC,,2,36
20080620X00890,2008,943,,505357N,0042913E,,121,,,,,0,,Boeing,B747-200,,,,0
20080630X00944,2008,2205,HI,019122N,1553616W,402,135,PLT,40,M,CL2,3,Environmental issues-Conditions/weather/phenomena-Ceiling/visibility/precip-Below VFR minima-Decision related to condition - C,CESSNA,172M,VMC,12,10,81
20080630X00945,2008,2130,AK,062450N,0151500W,552,135,PLT,41,M,CL2,0,Aircraft-Aircraft systems-Landing gear system-Wheel/ski/float-Capability exceeded,de Havilland,DHC-3,VMC,,100,0
20080701X00960,2008,2358,OR,044540N,0121120W,402,135,PLT,60,F,CL2,0,Aircraft-Aircraft power plant-Engine (reciprocating)-Recip engine power section-Fatigue/wear/corrosion - C,CESSNA,TR182,VMC,7,10,93
20080701X00963,2008,1715,CA,373639N,1222247W,152,121,CPLT,42,M,CL1,0,,BOEING,767,,,,0
20080702X00969,2008,1401,MA,414019N,0701614W,300,135,PLT,43,M,CL1,1,Aircraft-Aircraft systems-Flight control system-Gust lock or damper-Incorrect use/operation - C,DEHAVILLAND,DHC6,VMC,9,10,70
20080702X00971,2008,130,AK,582118N,1343435W,506,135,PLT,43,M,CL2,0,Environmental issues-Physical environment-Object/animal/substance-Animal(s)/bird(s)-Effect on equipment - C,de Havilland,DHC-2,VMC,9,10,54
20080703X00974,2008,1815,PA,415154N,0077519W,405,121,CPLT,50,M,CL1,0,Personnel issues-Action/decision-Info processing/decision-Expectation/assumption-Pilot - C,DOUGLAS,MD-10,VMC,,,0
20080709X00995,2008,536,WA,472733N,1221855W,253,121,,39,M,,0,Personnel issues-Psychological-Attention/monitoring-Attention-Flight crew - C,Boeing,737-700,VMC,4,10,73
20080713X01025,2008,357,,044311N,0074157W,300,121,,,,,0,,BOEING,747-200FM,VMC,,,0
20080714X01030,2008,2156,FL,025492N,0813842W,402,135,PLT,65,M,CL1,0,Aircraft-Fluids/misc hardware-Fluids-Fuel-Fluid level - C,CESSNA,310R,VMC,10,10,86
20080714X01032,2008,934,NJ,040511N,0074333W,551,135,,,,,0,Personnel issues-Task performance-Use of equip/info-Use of policy/procedure-ATC personnel - C,Learjet,45,VMC,0,10,0
20080720X01081,2008,2215,NC,351250N,0805635W,200,121,CPLT,31,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Convective weather-Lightning-Effect on operation - F,"Bombardier, Inc.",CL-600-2C10,VMC,8,10,77
20080722X01094,2008,200,FL,252222N,0082952W,404,121,CPLT,45,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-(general)-Not specified - C,Boeing,737-823,IMC,22,0.5,73
20080723X01108,2008,48,,006596N,1581230W,,121,CPLT,,,,0,,Boeing,B727-200F,VMC,5,,79
20080723X01111,2008,1340,,015500N,0152830E,402,121,,,,,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Clear air turbulence-Not specified - C,MCDONNELL DOUGLAS,DC10,VMC,,,0
20080728X01116,2008,615,,252342N,1005841W,,121,,,,,1,,MCDONNELL DOUGLAS,DC-9-15,IMC,,,0
20080728X01118,2008,1747,IL,042145N,0087541W,253,121,,,,,0,Personnel issues-Psychological-Attention/monitoring-Monitoring other aircraft-ATC personnel - C,Embraer,145,VMC,6,10,81
20080806X01166,2008,1445,MN,044712N,0931536W,553,135,,40,M,CL1,8,Aircraft-Aircraft systems-(general)-(general)-Not specified,Raytheon Corporate Jets,BAE 125-800A,VMC,3,10,64
20080808X01181,2008,1650,,182014N,0645824W,402,135,PLT,27,M,CL2,0,Aircraft-Aircraft systems-Hydraulic power system-(general)-Incorrect service/maintenance - C,AERO COMMANDER,500-B,VMC,15,10,84
20080808X01189,2008,1345,MO,384455N,0902212W,100,121,CPLT,42,M,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Pitch control-Malfunction - C,MCDONNELL DOUGLAS,MD-81,VMC,10,10,79
20080812X01218,2008,1821,AK,611046N,0149590W,300,121,CPLT,27,M,CL1,0,Aircraft-Aircraft power plant-Engine (turbine/turboprop)-Turbine section-Failure - C,Saab-Scania AB (Saab),SAAB 340B,VMC,,10,54
20080812X01219,2008,2350,AK,613454N,1593235W,350,135,PLT,40,M,CL1,0,Aircraft-Aircraft power plant-Turbocharging (recip only)-Turbocharger-Failure - C,PIPER,PA-31-350,VMC,6,10,55
20080826X01320,2008,1900,AK,611234N,1495135W,251,135,PLT,30,M,CL2,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Surface speed/braking-Incorrect use/operation - C,CESSNA,207A,VMC,,3,0
20080826X01331,2008,215,AK,595739N,1625253W,300,135,PLT,24,M,CL2,0,Aircraft-Aircraft oper/perf/capability-Aircraft capability-Takeoff distance-Capability exceeded,CESSNA,207A,VMC,6,7,63
20080827X01343,2008,1720,AZ,333137N,1121743W,100,135,PLT,48,M,CL2,0,Aircraft-Aircraft power plant-Engine fuel and control-Fuel distribution-Incorrect service/maintenance - F,CESSNA,TU206F,VMC,,20,97
20080829X01354,2008,2237,,,,402,121,,,,,0,Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-ATC personnel,Boeing,B737-800,,,,0
20080905X01389,2008,1400,TX,315633N,0102127W,550,135,PLT,61,M,CL2,0,Aircraft-Aircraft systems-Landing gear system-Gear extension and retract sys-Damaged/degraded - C,Beech,65-A80,VMC,,50,0
20080912X01438,2008,635,,044259N,0074923W,300,121,CPLT,29,M,CL1,0,Aircraft-Aircraft power plant-Power plant-(general)-Malfunction - C,BOEING,747-209B,VMC,5,10,52
20080915X01465,2008,1300,MO,384455N,0902212W,250,121,CPLT,27,M,CL2,0,Organizational issues-Management-Policy/procedure-Availability of policy/proc-Operator - F,BEECH,1900D,VMC,,6,63
20080917X01485,2008,1800,MT,475730N,1133334W,551,135,PLT,31,M,CL2,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Not attained/maintained - C,CESSNA,TR182,VMC,5,10,55
20080922X01509,2008,2345,PA,403521N,0752810W,301,135,CPLT,,M,CL1,0,Organizational issues-Support/oversight/monitoring-Training-Initial training-ATC - C,BOMBARDIER INC,CL-600-2C1,VMC,7,10,61
20080923X01518,2008,407,CA,364458N,1194012W,253,135,,,,,0,Personnel issues-Action/decision-Action-Incorrect action performance-ATC personnel - F,Canadair,CRJ2,VMC,3,10,91
20080924X01524,2008,215,AK,059720N,1552411W,350,135,PLT,39,M,CL2,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Climb rate-Not attained/maintained - C,Cessna,U206G,VMC,0,20,64
20080925X01526,2008,1818,,294113N,1044524W,,135,PLT,,,,4,,Cessna,421B,VMC,11,10,57
20080925X01531,2008,15,WI,045540N,0894126W,504,135,PLT,61,M,CL2,3,Environmental issues-Conditions/weather/phenomena-Ceiling/visibility/precip-Clouds-Contributed to outcome - F,Cirrus Design Corporation,SR22,IMC,5,3,64
20081003X16303,2008,1600,TX,032450N,0097200W,402,121,PLT,,M,UNK,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Clear air turbulence-Ability to respond/compensate - C,EMBRAER,140,VMC,,,0
20081003X16308,2008,353,SC,003400N,0081146W,100,135,CPLT,,M,,4,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Powerplant parameters-Attain/maintain not possible,Learjet,LR60,VMC,7,10,19
20081003X16340,2008,2240,NV,036448N,0011598W,301,121,CPLT,54,M,CL1,0,Aircraft-Aircraft power plant-Engine (turbine/turboprop)-Turbine section-Failure,BOEING,757,VMC,6,10,102
20081003X17330,2008,1752,MO,384419N,0902022W,550,121,CPLT,23,M,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Angle of attack-Incorrect use/operation - C,EMBRAER,EMB-145LR,VMC,5,10,82
20081003X62317,2008,0,AK,060430N,0158560W,552,135,PLT,58,M,CL2,0,Aircraft-Aircraft systems-Landing gear system-Nose/tail landing gear-Capability exceeded,CESSNA,T207,VMC,,10,50
20081003X62322,2008,2215,AK,635748N,1471616W,551,135,PLT,61,M,CL2,0,Environmental issues-Conditions/weather/phenomena-Wind-Variable wind-Contributed to outcome - F,CESSNA,207,VMC,10,10,64
20081003X62326,2008,2335,AK,059241N,1583020W,300,135,PLT,44,M,CL2,0,Aircraft-Aircraft oper/perf/capability-Aircraft capability-Takeoff distance-Capability exceeded - F,CESSNA,207,IMC,9,2,52
20081003X63355,2008,215,NJ,404427N,0741014W,350,121,,,,,0,Aircraft-Aircraft power plant-Eng oil sys (airframe furnish)-(general)-Not specified - C,BOEING,747,,,,0
20081007X03940,2008,1842,IL,415843N,0875417W,400,121,CPLT,49,M,CL1,0,Aircraft-Aircraft systems-Electrical power system-DC power distribution system-Fatigue/wear/corrosion,BOEING,757-223,,6,10,81
20081009X70534,2008,106,AK,604647N,1615017W,253,135,KPLT,38,M,CL1,0,Personnel issues-Task performance-(general)-(general)-Pilot - C,CESSNA,208B,VMC,11,9,36
20081015X60032,2008,1505,OR,453150N,1224045W,350,135,PLT,25,F,CL2,0,Aircraft-Aircraft power plant-Engine exhaust-(general)-Fatigue/wear/corrosion - C,PIPER,PA-31-350,VMC,3,10,52
20081016X64429,2008,1553,CA,364634N,0119435W,551,135,PLT,34,M,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Landing flare-Not attained/maintained - C,PIPER,PA-31-350,VMC,,8,73
20081024X25909,2008,2200,AK,601926N,0015030W,550,135,PLT,61,M,CL2,0,Environmental issues-Physical environment-Object/animal/substance-Tree(s)-Response/compensation - C,DEHAVILLAND,BEAVER DHC,VMC,,,0
20081027X75039,2008,1942,AZ,033267N,0112036W,551,121,CPLT,49,M,CL1,0,Personnel issues-Action/decision-Action-Incorrect action performance-Flight crew - C,AIRBUS,320,VMC,10,10,0
20081104X31228,2008,302,AK,603229N,0165514W,508,135,CPLT,24,F,CL2,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-(general)-Attain/maintain not possible - C,CONSTRUCCIONES AERONAUTICAS SA,CASA-212,VMC,6,6,34
20081107X83550,2008,746,FL,029412N,0821459W,502,135,PLT,45,M,CL2,3,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Descent/approach/glide path-Not attained/maintained - C,PARTENAVIA SPA,P.68C,IMC,,0,52
20081110X15316,2008,2315,UT,404718N,1115840W,200,121,,,,,0,Personnel issues-Psychological-Attention/monitoring-Task monitoring/vigilance-Ground crew - C,BOEING,737-700,VMC,3,10,48
20081113X92722,2008,1045,MI,421239N,0832137W,250,121,CPLT,26,,CL1,0,Environmental issues-Conditions/weather/phenomena-Ceiling/visibility/precip-Fog-Contributed to outcome - F,BOMBARDIER INC,CL-600-2B19,IMC,8,4,48
20081116X33137,2008,1434,PA,039525N,0751420W,500,121,CPLT,24,F,CL1,0,Aircraft-Aircraft systems-Landing gear system-Gear extension and retract sys-Capability exceeded - C,DeHavilland,DHC-8-311,VMC,24,10,48
20081117X71613,2008,2110,AK,604211N,1614642W,400,135,PLT,52,M,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Not attained/maintained - C,CESSNA,207,IMC,8,0.75,21
20081124X34243,2008,1519,DC,385130N,0077230W,252,121,CPLT,25,M,CL1,0,Personnel issues-Action/decision-Info processing/decision-Decision making/judgment-Pilot - C,EMBRAER,ERJ170,VMC,,10,39
20081201X44308,2008,1925,MT,454610N,1105549W,402,121,CPLT,54,M,CL1,0,Aircraft-Aircraft power plant-Engine fuel and control-Fuel oil cooler-Capability exceeded - C,BOEING,777,VMC,,,-71
20081203X44941,2008,1605,PR,181932N,0654640W,404,135,PLT,52,M,CL1,3,Environmental issues-Conditions/weather/phenomena-Ceiling/visibility/precip-Clouds-Effect on personnel,ROCKWELL INTERNATIONAL,690B,IMC,11,1,82
20081215X14936,2008,2212,SC,345344N,0821312W,402,121,CPLT,58,M,CL1,0,Aircraft-Aircraft systems-Electrical power system-DC power distribution system-Malfunction - C,MCDONNELL DOUGLAS,MD88,VMC,,11,0
20081215X93019,2008,2200,PA,395219N,0751428W,500,121,CPLT,25,F,CL1,0,Aircraft-Aircraft systems-Landing gear system-Main landing gear-Incorrect service/maintenance,BOMBARDIER,CL-600-2B19,VMC,11,10,46
20081216X41655,2008,1915,WI,043823N,0892015W,253,121,CPLT,50,M,CL1,0,Aircraft-Aircraft handling/service-Towing and taxiing-Towing-Not specified - C,MCDONNELL DOUGLAS,DC-9-50,IMC,13,1,28
20081217X04130,2008,452,WI,043823N,0892015W,400,135,PLT,30,,CL2,0,Aircraft-Fluids/misc hardware-Fluids-Fuel-Fluid level - C,CESSNA,402,IMC,3,1,9
20081217X83220,2008,439,IL,415851N,0875423W,501,121,CPLT,48,M,CL1,0,Aircraft-Aircraft handling/service-Maintenance/inspections-Unscheduled maint checks-Incorrect service/maintenance - C,BOMBARDIER,CL-600-2C10,VMC,10,10,10
20081219X16532,2008,,,,,150,121,,,,,0,Aircraft-Aircraft systems-Landing gear system-Main landing gear-Failure - C,BOEING,MD-11,,,,0
20081219X65313,2008,1655,IL,415321N,0873713W,253,121,,,,,0,Aircraft-Aircraft systems-Landing gear system-Nose/tail landing gear-Failure - C,BOEING,737,,,,0
20081221X14648,2008,118,CO,039452N,0010503W,300,121,CPLT,34,,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Crosswind correction-Not attained/maintained,BOEING,737-524,VMC,27,,0
20081223X70710,2008,1147,AK,057250N,1352142W,100,121,PLT,48,M,CL1,0,Aircraft-Aircraft handling/service-(general)-(general)-Incorrect service/maintenance - C,BOEING,737-4Q8,VMC,,10,0
20081224X25658,2008,1500,WA,472659N,1221842W,201,121,,48,M,CL1,0,Aircraft-Aircraft handling/service-(general)-(general)-Incorrect use/operation - C,BOEING,737-890,IMC,8,1,34
20081228X24007,2008,1930,WY,413539N,0109354W,251,135,PLT,32,M,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Directional control-Not attained/maintained - C,CESSNA,208B,VMC,27,10,12
20081228X25156,2008,1500,WA,472659N,1221842W,202,121,CPLT,40,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Light condition-Dark-Effect on operation,BOEING,757-351,VMC,8,10,39
20081229X40417,2008,540,MO,391615N,0944347W,404,121,CPLT,27,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-Convective turbulence-Effect on personnel - C,EMBRAER,ERJ 170-10,VMC,15,9,63
20081229X80551,2008,1659,CA,335659N,1182359W,200,121,,,,,0,Personnel issues-Action/decision-Action-(general)-Copilot - C,MCDONNELL DOUGLAS,DC-9-83,VMC,,,0
20090102X60836,2008,702,IL,421155N,0008961W,253,121,CPLT,50,,CL2,0,Aircraft-Aircraft handling/service-Towing and taxiing-Taxiing-Incorrect use/operation - C,BOEING,747-212B,VMC,6,10,7
20090105X01036,2009,1528,GA,033451N,0842326W,301,121,,,,,0,Aircraft-Aircraft power plant-Engine (turbine/turboprop)-Compressor section-Fatigue/wear/corrosion - C,BOEING,777,,,,0
20090105X33112,2008,1440,AK,581040N,1351532W,100,135,,49,M,CL2,0,Aircraft-Aircraft structures-Doors-Cargo/baggage doors-Incorrect use/operation - C,CESSNA,207A,VMC,9,10,19
20090106X53332,2009,1940,MN,462311N,0094813W,551,135,PLT,56,M,CL2,0,Aircraft-Aircraft structures-Windows-windshield system-Flight compartment windows-Not specified - C,BEECH,58,VMC,4,2.5,19
20090114X61852,2008,1759,NY,403823N,0734613W,151,121,CPLT,28,F,CL1,0,Aircraft-Aircraft handling/service-Towing and taxiing-Taxiing-Not specified - C,EMBRAER,EMB145,IMC,,6,28
20090115X73226,2009,2030,NJ,404610N,0074017W,350,121,,,,,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-(general)-Related operating info,AIRBUS,A320,,,,0
20090122X34526,2009,10,FL,002695N,0814619W,402,135,PLT,63,M,CL1,0,Aircraft-Aircraft handling/service-Maintenance/inspections-(general)-Incorrect service/maintenance,CESSNA,402C,VMC,3,10,55
20090127X92950,2009,1037,TX,333929N,1014913W,501,121,CPLT,26,F,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Airspeed-Not attained/maintained,AEROSPATIALE ALENIA,ATR 42-320,IMC,10,2,46
20090211X65410,2009,1345,AK,060521N,1621623W,509,135,,50,M,CL2,0,Aircraft-Aircraft oper/perf/capability-Aircraft capability-Maximum weight-Capability exceeded - C,CESSNA,172N,VMC,18,10,10
20090213X13613,2009,117,NY,043040N,0078385W,501,121,CPLT,24,F,CL1,49,Aircraft-Aircraft systems-Indicating/recording systems-Instrument panel   -Not installed/available,BOMBARDIER INC,DHC-8-402,VMC,15,3,0
20090214X61509,2009,1502,AK,066535N,1623555W,400,135,CPLT,,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Ceiling/visibility/precip-Snow-Decision related to condition - C,CONSTRUCCIONES AERONAUTICAS SA,C-212-CC,IMC,28,0.25,27
20090220X30535,2009,250,,035136N,1392828E,404,121,,,,,0,,BOEING,747,,,,0
20090220X43946,2009,2212,AK,643044N,1652642W,508,135,PLT,66,M,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Altitude-Not attained/maintained - C,PIPER,PA-31-350,IMC,20,2,25
20090223X03403,2009,1812,UT,404718N,1115839W,250,121,CPLT,28,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Light condition-Glare-Effect on operation,EMBRAER,EMB-120ER,VMC,,10,43
20090225X40933,2009,1205,MO,039723N,0943533W,509,135,CPLT,30,M,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-(general)-Not attained/maintained - C,GATES LEARJET CORP.,35A,VMC,6,10,43
20090303X74824,2009,1340,FL,302347N,0084211W,151,121,,,,,0,Aircraft-Aircraft systems-Electrical power system-AC power distribution system-Malfunction - C,BOMBARDIER,CRJ,,,,0
20090312X34256,2009,1240,SD,452657N,0982519W,400,135,PLT,39,M,CL2,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Landing flare-Not attained/maintained - C,CESSNA,402B,IMC,22,1,3
20090314X10623,2009,0,AK,634455N,1501946W,350,135,PLT,37,M,CL1,0,Aircraft-Aircraft oper/perf/capability-Performance/control parameters-Climb rate-Not attained/maintained - C,HELIO,H-295,VMC,8,10,-20
20090319X45005,2009,2052,AK,655853N,0161857W,552,135,PLT,29,M,CL1,0,Environmental issues-Physical environment-Runway/land/takeoff/taxi surfa-Snow/slush/ice covered-Effect on operation,PIPER,PA-31-350,VMC,10,5,-20
20090323X01952,2009,649,,354553N,1402311E,551,121,,,,,2,,MCDONNELL DOUGLAS,MD11,,,,0
20090325X03924,2009,205,NV,355820N,0115813W,253,135,,62,M,CL1,0,Environmental issues-Physical environment-Object/animal/substance-Tree(s)-Awareness of condition,BEECH,200,VMC,5,10,52
20090401X82602,2009,1700,GA,333826N,0842537W,404,121,CPLT,40,M,CL1,0,Environmental issues-Conditions/weather/phenomena-Turbulence-(general)-Not specified - C,MCDONNELL DOUGLAS,MD88,IMC,24,2,59
20090403X22132,2009,2253,FL,027550N,0082141W,402,135,PLT,37,M,CL2,0,Aircraft-Aircraft power plant-Engine (reciprocating)-Recip engine power section-Incorrect service/maintenance - C,CIRRUS DESIGN CORP,SR22,VMC,4,8,73
